length_url,length_hostname,nb_dots,nb_hyphens,nb_slash,nb_www,https_token,ratio_digits_url,nb_subdomains,nb_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,nb_extCSS,ratio_extRedirection,ratio_extErrors,external_favicon,links_in_tags,ratio_intMedia,ratio_extMedia,safe_anchor,domain_with_copyright,domain_registration_length,domain_age,web_traffic,google_index,page_rank
25,16,2,0,3,1,0,0,2,0,2,4,3,3,0,8,8,0,5.5,5.5,0,211,0.933649289,0.066350711,0,0.357142857,0.285714286,1,82.35294118,100,0,69.6969697,0,880,2041,4297684,0,2
51,23,3,0,4,0,1,0.019607843,3,1,5,1,4,4,5,12,12,7,6.6,8,5.666666667,50,1,0,0,0,0,0,100,0,0,0,0,490,3892,0,0,4
31,22,2,0,3,1,0,0,2,0,2,3,3,3,0,14,14,0,8.5,8.5,0,125,0.96,0.04,0,0.2,0,0,100,100,0,76.19047619,1,3069,8301,99386,0,4
50,21,2,0,5,0,1,0.06,2,1,5,0,4,4,5,12,12,8,7,8,6.333333333,23,1,0,0,0,0,0,100,100,0,0,1,1337,2316,0,1,0
34,23,2,0,4,1,1,0,2,0,3,3,2,3,2,15,15,2,6.666666667,9,2,0,0,0,0,0,0,0,0,0,0,0,0,352,2935,0,1,0
27,19,2,0,3,1,1,0.148148148,2,1,2,3,3,3,0,11,11,0,7,7,0,219,0.97716895,0.02283105,0,0,0,0,66.66666667,100,0,0,1,451,3932,927214,0,2
63,14,3,2,7,1,1,0,3,1,8,3,2,3,2,8,4,8,5.25,3.5,5.833333333,147,0.884353741,0.115646259,1,0,0,1,92.59259259,87.5,12.5,92.75362319,1,70,8759,26017,0,5
66,16,2,4,4,0,0,0,2,0,8,0,4,4,4,9,7,9,5.875,5.5,6,77,0.818181818,0.181818182,0,0.214285714,0.142857143,0,76.92307692,0,0,0,0,926,5647,1040,0,6
40,11,2,0,5,0,1,0.1,2,0,5,0,1,7,1,7,7,7,5,7,4.5,13,0.923076923,0.076923077,0,0,0,0,100,100,0,0,1,277,1184,0,1,0
48,16,1,3,4,0,1,0,1,1,6,0,3,5,3,9,6,9,5.333333333,5.5,5.25,59,0.915254237,0.084745763,0,0.2,0,0,100,100,0,50,1,541,3476,4672316,0,4
126,50,4,1,4,0,1,0.095238095,3,1,13,7,2,3,2,17,13,17,7.769230769,8.4,7.375,51,1,0,0,0,0,0,100,100,0,100,1,25,3993,5707171,1,0
41,32,2,0,3,0,0,0,2,0,2,0,8,8,0,19,19,0,13.5,13.5,0,21,0.285714286,0.714285714,3,0,0,1,46.15384615,0,0,0,0,373,7296,0,1,5
36,27,2,0,3,1,0,0,2,0,2,3,3,3,0,19,19,0,11,11,0,115,0.973913043,0.026086957,0,0.333333333,0,0,100,100,0,90.32258065,1,315,6989,2203390,0,4
72,24,2,7,5,1,1,0,2,1,11,5,2,3,2,8,6,8,4.545454545,4.25,4.714285714,68,0.647058824,0.352941176,2,0.083333333,0.166666667,1,66.66666667,93.75,6.25,20,1,634,4845,5964,0,5
68,42,4,0,4,0,1,0.161764706,3,1,6,3,2,3,2,15,13,15,8.666666667,8.75,8.5,51,1,0,0,0,0,0,100,100,0,100,1,25,3993,5707171,1,0
163,14,4,9,3,1,1,0.398773006,3,0,17,14,1,3,1,18,7,18,8,5,8.4,31,0.483870968,0.516129032,0,0.4375,0.625,1,66.66666667,100,0,0,1,0,-1,0,1,0
26,18,2,0,3,1,1,0,2,0,2,3,3,3,0,10,10,0,6.5,6.5,0,95,0.947368421,0.052631579,0,0.2,0,0,92.85714286,94.44444444,5.555555556,50,0,290,1170,390047,0,4
64,17,2,0,4,0,1,0.34375,2,1,4,3,3,3,6,32,9,32,12.5,6,19,36,0.388888889,0.611111111,5,0,0,1,20,100,0,0,1,224,1237,0,1,1
36,28,4,0,3,0,1,0.25,3,0,4,1,1,1,0,11,11,0,5.25,5.25,0,21,0.19047619,0.80952381,1,0.294117647,0,1,0,20,80,25,1,217,5627,0,1,5
61,14,2,0,6,0,1,0,2,0,7,1,3,10,3,10,10,10,6.285714286,10,5.666666667,3,0,1,0,0,0.333333333,0,0,0,100,0,0,251,3767,9264543,1,0
66,17,2,0,4,0,0,0.212121212,2,0,6,3,3,5,3,21,7,21,8.166666667,6,9.25,105,0.542857143,0.457142857,2,0.0625,0.020833333,1,0,0,100,0,0,911,9316,13,0,7
35,26,2,0,3,1,0,0,2,0,2,3,3,3,0,19,19,0,11,11,0,16,0.375,0.625,0,0.4,0.1,0,0,0,100,45.45454545,0,125,7849,0,0,4
113,24,5,0,10,1,1,0,3,0,16,4,2,20,2,20,20,10,5.4375,20,4.466666667,417,0.3117506,0.6882494,0,0.146341463,0.013937282,1,96.66666667,97.43589744,2.564102564,0,1,97,3920,0,0,2
41,34,2,4,2,0,1,0,2,1,6,3,2,2,0,6,6,0,4.166666667,4.166666667,0,27,0.481481481,0.518518519,0,0.714285714,0,0,40,0,0,8.333333333,0,1049,5159,0,0,8
23,12,2,1,3,1,1,0,2,0,4,3,1,1,3,3,3,3,2.5,2.333333333,3,160,0.875,0.125,0,0.35,0.1,0,100,94.73684211,5.263157895,17.39130435,1,78,-1,74862,0,3
31,24,2,1,2,0,1,0,2,0,3,2,5,5,0,7,7,0,6,6,0,183,0.732240437,0.267759563,0,0.346938776,0.081632653,0,72.22222222,100,0,22.80701754,0,248,5230,5828226,0,7
84,30,2,2,7,0,1,0,2,0,9,0,2,26,2,26,26,9,7.222222222,26,4.875,23,1,0,0,0,0,0,100,100,0,100,0,162,3125,0,1,1
29,17,2,0,3,0,1,0,2,0,3,0,4,4,4,8,8,4,5.333333333,6,4,1,1,0,0,0,0,0,100,0,0,0,0,88,5026,544886,1,4
98,26,2,2,9,1,1,0.295918367,2,2,10,4,2,3,2,32,10,32,7.8,7,8.142857143,22,0.545454545,0.454545455,1,0,0,1,40,0,0,60,1,257,2300,0,1,2
15,8,1,0,2,0,1,0,1,0,1,1,5,5,0,5,5,0,5,5,0,35,0.971428571,0.028571429,0,0,0,0,94.44444444,0,0,0,0,0,2580,1671658,0,2
65,22,2,0,4,0,1,0,2,1,8,3,3,4,3,13,13,9,5.875,8.5,5,265,0.939622642,0.060377358,0,0,0,0,100,50,50,76.66666667,1,3305,5825,7698,0,7
131,27,2,1,7,0,0,0.030534351,2,1,14,6,1,2,1,40,10,40,7.428571429,7,7.545454545,26,0.115384615,0.884615385,0,0,0.086956522,1,7.692307692,0,0,0,0,381,8019,0,1,4
50,23,2,1,4,1,0,0,2,0,5,4,3,3,7,10,7,10,6.8,5.666666667,8.5,279,0.741935484,0.258064516,0,0.277777778,0.263888889,1,31.25,100,0,25,0,197,7839,607,0,6
51,32,2,0,4,0,1,0,2,1,3,1,10,13,10,14,14,10,12.33333333,13.5,10,7,0,1,1,0,0,1,0,0,100,0,0,250,2306,0,1,0
45,11,3,0,5,1,0,0.133333333,3,0,6,4,3,3,3,9,3,9,4.666666667,3,5.5,420,0.976190476,0.023809524,0,0.1,0,0,94.73684211,80.95238095,19.04761905,94.68085106,0,0,-1,6431,0,6
159,14,2,0,8,0,1,0.270440252,2,1,12,4,3,10,3,40,10,40,11.41666667,10,11.54545455,13,0.923076923,0.076923077,0,1,1,0,100,0,0,0,1,325,1500,0,1,0
44,22,2,1,4,1,0,0.227272727,2,0,4,3,3,3,4,14,14,7,7,8.5,5.5,43,0.953488372,0.046511628,0,0,0,1,93.75,100,0,0,0,1278,2739,11657,1,6
103,19,3,1,4,0,0,0.077669903,3,0,9,2,2,4,2,44,10,44,9.222222222,7,9.857142857,64,0.84375,0.15625,2,0,0.3,1,45.45454545,100,0,100,1,231,134,1508317,1,2
46,20,4,0,5,0,1,0,3,0,7,1,2,4,2,7,7,7,4.285714286,5,3.75,0,0,0,0,0,0,0,0,0,0,0,0,517,7802,0,1,5
45,16,2,0,4,0,0,0,2,0,5,0,2,2,4,10,9,10,5.8,5.5,6,253,0.920948617,0.079051383,0,0.45,0.2,0,100,100,0,63.63636364,0,902,7133,12,0,7
51,26,3,0,5,1,1,0,3,4,4,4,3,3,4,16,16,11,8.5,9.5,7.5,91,0.615384615,0.384615385,2,0.142857143,0.085714286,1,28.57142857,38.46153846,61.53846154,50,1,137,1690,0,1,2
38,19,3,0,4,1,1,0,3,1,5,4,2,3,2,11,11,4,4.6,7,3,184,0.766304348,0.233695652,3,0.348837209,0.023255814,1,82.85714286,81.81818182,18.18181818,9.677419355,1,237,1588,0,1,0
81,27,2,0,5,1,1,0.283950617,2,1,5,8,2,3,2,32,19,32,13.2,11,14.66666667,30,0.966666667,0.033333333,0,0,0,0,100,80,20,100,0,77,5767,0,1,2
112,31,2,10,4,0,1,0,2,1,14,0,2,10,2,16,16,11,6.285714286,13,5.166666667,83,0.614457831,0.385542169,1,0.03125,0,1,52.63157895,9.090909091,90.90909091,71.42857143,0,133,7615,2190,0,5
39,16,2,0,4,0,0,0,2,1,4,1,4,5,4,9,6,9,6,5.5,6.5,27,0.740740741,0.259259259,1,0,0,1,50,100,0,100,1,2974,8348,1,0,10
99,15,2,2,7,0,0,0.080808081,2,0,11,2,1,4,1,16,6,16,7,5,7.444444444,27,0.37037037,0.62962963,4,0,0,1,33.33333333,0,100,0,1,2974,8348,1,1,10
45,27,2,1,3,1,0,0,2,1,4,3,3,3,3,19,19,5,7.5,11,4,118,0.974576271,0.025423729,0,0.333333333,0,0,100,100,0,90,1,315,6989,2203390,1,4
60,35,5,1,4,0,1,0.033333333,3,0,8,3,1,1,2,18,18,7,5.25,7,3.5,21,0.19047619,0.80952381,1,0.176470588,0,1,0,20,80,25,1,228,5615,0,1,5
74,19,3,0,10,0,1,0.081081081,3,1,14,2,1,7,1,9,7,9,3.571428571,7,3,0,0,0,0,0,0,0,0,0,0,0,1,1630,9327,4053,0,5
61,18,3,3,4,1,1,0,3,1,8,3,3,3,4,8,5,8,5.375,4,6.2,54,0.944444444,0.055555556,0,0,0.333333333,0,100,100,0,57.14285714,1,92,3561,6010,0,4
40,32,4,0,2,0,0,0.125,3,0,4,1,1,1,0,15,15,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,230,5614,0,0,5
52,24,3,0,4,1,1,0.038461538,3,0,5,5,3,3,4,16,16,8,7.4,9.5,6,0,0,0,0,0,0,0,0,0,0,0,0,148,5408,0,1,1
88,24,7,1,4,0,0,0,3,1,11,3,3,5,3,10,7,10,6,6,6,1,0,1,0,0,0,0,0,0,100,0,0,2976,8346,1,1,10
74,12,2,0,4,0,1,0.027027027,2,1,7,2,4,8,4,10,8,10,8.142857143,8,8.166666667,167,0.988023952,0.011976048,0,0,0,0,83.33333333,100,0,100,0,3253,5877,24587,0,5
46,16,2,1,4,1,1,0.065217391,2,2,6,4,3,3,3,8,8,7,5,5.5,4.75,849,0.941107185,0.058892815,0,0.36,0.24,1,7.692307692,66.66666667,33.33333333,96.4504284,1,288,2633,827,1,7
54,17,3,0,4,1,1,0,3,1,5,4,3,3,3,13,9,13,7.8,6,9,0,0,0,0,0,0,0,0,0,0,0,1,792,6512,1680566,0,4
54,21,1,1,6,0,1,0,1,1,5,3,6,7,6,10,10,9,7.8,8.5,7.333333333,5,0.6,0.4,0,0,0,0,0,100,0,50,0,0,-1,0,1,0
38,16,2,0,4,0,0,0,2,0,5,0,2,2,3,9,9,4,4.4,5.5,3.666666667,385,0.937662338,0.062337662,0,0.291666667,0.041666667,0,100,100,0,70.37037037,0,901,7134,12,1,7
67,15,2,3,5,1,1,0,2,0,8,6,3,3,3,10,7,10,6.125,5,6.5,212,0.617924528,0.382075472,1,0.074074074,0.222222222,1,59.375,100,0,23.68421053,1,102,9394,1294,0,6
62,13,5,1,7,0,1,0,3,0,7,0,2,10,2,10,10,9,6,10,5.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,5044,0,1,0
59,17,3,0,6,0,1,0.06779661,3,0,7,1,3,13,3,13,13,8,6,13,4.833333333,13,1,0,0,0,0,0,100,100,0,100,0,1078,2573,0,1,0
57,38,4,0,3,0,0,0.01754386,3,0,5,0,4,4,4,18,18,5,8.2,10.66666667,4.5,0,0,0,0,0,0,0,0,0,0,0,0,944,1246,7048,1,4
32,12,1,1,4,0,1,0,1,1,3,2,3,8,3,8,8,7,6,8,5,44,0.772727273,0.227272727,0,0.5,0.2,1,63.63636364,66.66666667,33.33333333,100,1,50,2872,8400,0,3
46,25,2,0,5,1,1,0,2,0,4,3,3,3,4,17,17,7,7.75,10,5.5,0,0,0,0,0,0,0,0,0,0,0,0,212,4537,0,1,1
37,16,2,0,4,0,0,0,2,0,4,0,2,2,4,9,9,7,5.5,5.5,5.5,199,0.964824121,0.035175879,0,0.428571429,0,0,100,100,0,74.07407407,0,902,7133,12,0,7
36,29,2,0,2,0,1,0.027777778,2,1,2,1,8,8,0,16,16,0,12,12,0,14,0.071428571,0.928571429,0,0.846153846,0.615384615,1,0,0,0,14.28571429,0,374,7295,0,1,5
52,18,2,0,7,0,1,0.038461538,2,1,7,1,2,14,2,14,14,5,5,14,3.5,1,1,0,0,0,0,0,0,100,0,0,0,123,973,8238037,1,2
32,24,2,0,3,0,1,0.25,2,1,2,8,8,8,0,11,11,0,9.5,9.5,0,5,0,1,1,0,0,1,0,0,0,0,1,374,7296,0,1,5
34,11,1,0,3,0,0,0,1,0,2,2,7,7,14,14,7,14,10.5,7,14,25,0.52,0.48,0,0,0.083333333,0,50,0,0,0,0,179,7491,63,0,10
27,19,3,0,3,1,1,0,3,0,2,3,3,3,0,9,9,0,6,6,0,33,0.212121212,0.787878788,0,0.346153846,0,1,25,0,100,10,1,413,-1,479698,0,2
92,22,2,1,8,0,1,0.304347826,2,0,7,5,2,15,2,32,15,32,10.14285714,15,9.333333333,11,1,0,0,0,0,0,100,0,0,0,1,0,-1,0,1,1
102,12,2,7,7,1,1,0.058823529,2,1,13,3,3,3,3,22,4,22,6,3.5,6.454545455,148,0.864864865,0.135135135,2,0.05,0.05,1,61.11111111,0,0,35.71428571,0,323,8442,43102,0,5
32,23,2,0,3,1,0,0,2,0,2,3,3,3,0,15,15,0,9,9,0,181,0.546961326,0.453038674,3,0.085365854,0,1,0,11.62790698,88.37209302,81.03448276,1,2470,2277,2426481,0,3
29,20,2,0,3,1,0,0,2,0,2,4,3,3,0,12,12,0,7.5,7.5,0,81,0.691358025,0.308641975,0,0.12,0,0,58.33333333,0,0,20,1,27,1800,0,0,3
119,24,4,1,9,0,1,0.008403361,3,0,15,3,2,2,2,17,17,13,6.266666667,9.5,5.769230769,98,0.846938776,0.153061224,2,0.4,0.133333333,1,82.35294118,100,0,82.60869565,1,1011,-1,0,1,4
59,21,2,0,6,1,0,0.06779661,2,1,6,4,3,3,4,13,13,8,7,8,6.5,129,0.968992248,0.031007752,0,0.25,0,0,97.5,95.12195122,4.87804878,50,1,65,3952,3862928,0,4
54,19,2,2,3,0,1,0,2,1,5,1,3,15,3,15,15,8,7.8,15,6,98,0.887755102,0.112244898,0,0.727272727,0,0,0,50,50,52.94117647,0,258,4855,128132,0,4
151,10,3,1,3,0,1,0.271523179,3,0,6,10,3,7,3,110,7,110,22.66666667,7,25.8,45,0.511111111,0.488888889,0,0.636363636,0.636363636,1,60,100,0,10,1,201,166,0,1,0
84,25,3,5,5,1,1,0.035714286,3,1,11,6,1,3,1,17,17,8,5.727272727,10,4.777777778,38,0.5,0.5,1,0.157894737,0.052631579,1,58.82352941,0,100,53.84615385,0,654,4093,52436,0,4
55,10,3,1,6,0,1,0,3,2,7,0,2,3,2,8,3,8,5,3,5.333333333,41,0.804878049,0.195121951,1,0,0,1,60,50,50,93.33333333,1,0,-1,1080262,1,2
18,9,1,0,3,0,0,0,1,0,1,0,6,6,0,6,6,0,6,6,0,437,0.961098398,0.038901602,2,0.058823529,0,1,41.66666667,50,50,75,1,0,-1,294723,0,2
39,16,2,0,3,1,0,0,2,0,3,4,3,3,14,14,8,14,8.333333333,5.5,14,137,0.328467153,0.671532847,12,0,0,1,12.5,0,100,100,0,2808,8516,8,0,10
28,19,2,1,3,1,0,0,2,0,3,3,3,3,0,6,6,0,4.333333333,4.333333333,0,218,0.935779817,0.064220183,0,0.071428571,0,0,100,86.66666667,13.33333333,56.25,1,347,7689,381695,0,3
32,16,3,1,3,1,1,0,3,1,5,4,3,3,3,4,4,4,3.4,3.333333333,3.5,31,0.709677419,0.290322581,2,0.111111111,0,1,81.81818182,0,0,86.95652174,0,295,5913,86462,0,5
16,9,1,0,2,0,1,0,1,0,1,0,4,4,0,4,4,0,4,4,0,139,0.769784173,0.230215827,1,0.875,0,1,66.66666667,0,0,81.29032258,0,0,-1,2346124,0,2
23,12,1,0,4,0,1,0,1,0,2,0,2,8,2,8,8,2,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0,241,4141,0,1,0
29,21,3,0,3,1,1,0,3,1,2,3,3,3,0,11,11,0,7,7,0,104,0.038461538,0.961538462,0,0,0.02,1,0,0,100,5.128205128,1,85,4664,0,0,4
29,20,2,0,3,1,0,0,2,0,2,3,3,3,0,13,13,0,8,8,0,124,0.919354839,0.080645161,0,0.1,0,0,100,100,0,0,0,49,317,0,0,0
41,15,2,0,4,1,0,0,2,0,4,4,3,3,5,11,7,11,6.5,5,8,65,0.8,0.2,0,0.692307692,0.307692308,0,60,100,0,62.06896552,0,2009,4566,44445,0,5
22,6,1,0,3,0,0,0.181818182,1,1,2,0,3,3,7,7,3,7,5,3,7,16,0.5,0.5,0,0,0,0,27.27272727,0,0,0,0,0,-1,3523,1,9
52,14,3,0,5,1,1,0.038461538,3,0,7,4,3,3,3,7,6,7,5,4.5,5.2,2,0,1,0,0,0,0,0,0,0,0,0,438,657,0,1,0
38,20,3,0,6,1,1,0.026315789,3,0,5,3,1,3,1,13,13,3,4.4,8,2,1,1,0,0,0,0,0,0,100,0,0,0,0,-1,9412550,1,2
30,21,3,0,3,1,0,0,3,1,2,3,3,3,0,10,10,0,6.5,6.5,0,77,0.402597403,0.597402597,3,0.086956522,0,1,9.090909091,0,100,13.04347826,1,0,-1,0,0,2
76,50,4,1,4,0,1,0.105263158,3,1,7,7,2,3,2,15,13,15,8.428571429,8.4,8.5,51,1,0,0,0,0,0,100,100,0,100,1,25,3993,5707171,1,0
430,13,24,0,21,1,1,0.039534884,3,1,81,10,1,2,1,10,3,10,4.271604938,2.5,4.363636364,21,0.428571429,0.571428571,3,0,0.25,1,0,0,0,33.33333333,1,0,-1,0,1,0
37,19,2,0,3,0,1,0,2,1,3,0,2,2,10,12,12,10,8,7,10,38,0.921052632,0.078947368,0,0.666666667,0.333333333,0,100,100,0,25,1,291,4823,212735,1,4
73,23,3,5,3,0,1,0.068493151,3,1,9,3,3,5,3,13,13,8,6,9,5.142857143,61,0.754098361,0.245901639,0,0.266666667,0.133333333,0,90,50,50,27.77777778,1,277,11046,545,0,6
56,15,2,0,5,1,1,0.107142857,2,0,7,3,3,3,3,9,7,9,5.428571429,5,5.6,0,0,0,0,0,0,0,0,0,0,0,0,347,2939,0,1,0
70,13,1,7,5,0,0,0,1,0,11,2,1,9,1,9,9,7,4.363636364,9,3.9,52,0.788461538,0.211538462,1,0.818181818,0,1,0,0,100,100,0,2825,3385,12180,1,5
70,20,3,0,5,0,1,0,3,0,7,1,4,4,4,13,12,13,7.714285714,8,7.6,0,0,0,0,0,0,0,0,0,0,0,0,517,7802,0,1,5
52,19,2,1,5,1,1,0.076923077,2,2,6,3,3,3,4,11,11,8,6,7,5.5,83,0.879518072,0.120481928,0,0.3,0,0,100,0,100,33.33333333,1,120,-1,241891,1,5
31,22,2,1,3,1,0,0,2,0,3,3,3,3,0,7,7,0,5.333333333,5.333333333,0,24,0.083333333,0.916666667,2,0.5,0,1,0,0,0,0,1,113,5366,3913090,0,2
90,19,4,0,6,2,0,0.244444444,3,1,8,12,3,3,3,32,11,32,8.875,7,9.5,52,0.615384615,0.384615385,0,0.3,0.15,0,93.33333333,20,80,0,1,79,2112,0,1,1
45,15,3,0,5,0,1,0.155555556,3,1,6,1,3,3,3,8,8,7,5,5.5,4.75,315,0.93968254,0.06031746,0,0,0,1,86.66666667,96.77419355,3.225806452,71.69811321,1,150,7156,2272,0,3
55,20,3,0,4,1,1,0.036363636,3,0,6,4,3,3,4,12,12,10,6.5,7.5,6,77,0.844155844,0.155844156,0,0.166666667,0,0,40,90,10,11.11111111,1,1164,7602,145276,0,4
65,12,3,2,6,1,1,0.076923077,3,0,8,4,2,3,2,15,4,15,5.75,3.5,6.5,5,1,0,0,0,0,0,100,0,0,0,0,230,135,0,1,0
41,33,2,1,3,0,1,0.073170732,2,0,3,4,5,5,0,13,13,0,9,9,0,184,0.222826087,0.777173913,9,0.013986014,0.006993007,1,3.50877193,0,100,29.62962963,1,644,1546,4669,1,2
71,25,2,1,4,0,0,0.169014085,2,0,8,0,3,6,3,14,14,7,6.5,10,5.333333333,582,0.288659794,0.711340206,5,0.132850242,0.077294686,1,6.976744186,6.666666667,93.33333333,7.391304348,1,358,7,0,1,0
83,16,2,0,7,0,0,0.072289157,2,0,8,2,1,5,1,33,6,33,7.875,5.5,8.666666667,10,0,1,2,0,0,1,0,0,0,0,0,2973,8348,1,1,10
73,18,1,1,5,0,1,0.342465753,1,0,4,1,5,14,5,32,14,32,14.5,14,14.66666667,14,1,0,0,0,0,0,100,100,0,0,0,321,-1,0,1,0
44,30,2,2,3,0,1,0.204545455,2,1,5,1,3,3,6,11,11,6,5.8,5.75,6,4,1,0,0,0,0,0,100,0,0,100,0,182,184,0,1,0
114,16,4,1,8,1,1,0.052631579,3,0,12,8,2,3,2,16,8,16,7.5,5.5,7.9,1,1,0,0,0,0,0,100,0,0,0,0,154,2403,819233,0,3
127,50,4,1,4,0,0,0.157480315,3,1,13,2,2,3,2,17,13,17,7.769230769,8.4,7.375,51,1,0,0,0,0,0,100,100,0,100,1,25,3992,5697976,1,0
99,20,4,0,4,0,1,0.070707071,3,1,9,4,2,3,2,44,12,44,8.888888889,7.5,9.285714286,32,0.59375,0.40625,3,0.153846154,0,1,50,100,0,0,1,112,254,0,0,0
56,20,2,1,7,1,1,0,2,0,7,3,3,3,5,7,7,7,5.428571429,4.666666667,6,38,0.815789474,0.184210526,0,0.714285714,0,0,100,100,0,0,1,169,6041,0,1,1
51,17,3,0,4,1,0,0,3,2,5,3,3,3,4,12,9,12,7,6,7.666666667,147,0.795918367,0.204081633,3,0.133333333,0,1,0,81.25,18.75,16.66666667,1,1847,7284,2788,1,7
51,14,5,0,4,0,1,0,3,1,6,2,3,7,3,7,7,7,5.333333333,7,5,4,1,0,0,0,0,0,100,0,0,100,0,0,-1,0,1,0
40,24,2,1,5,1,0,0,2,1,5,3,2,3,2,13,13,3,4.8,6.333333333,2.5,98,0.979591837,0.020408163,0,0,0,0,96,100,0,66.66666667,0,0,-1,1166803,0,3
33,14,3,0,6,1,1,0,3,1,5,3,1,3,1,5,4,5,3,3.5,2.666666667,145,0.944827586,0.055172414,1,0,0,1,91.89189189,92.85714286,7.142857143,87.5,0,0,5111,5692030,1,1
88,20,2,5,6,0,0,0,2,0,10,3,3,7,3,9,8,9,6.6,7.5,6.375,296,0.972972973,0.027027027,1,0.125,0.125,1,84.21052632,100,0,90.90909091,0,2202,8024,88431,0,5
122,18,2,0,5,1,0,0.049180328,2,0,18,3,3,3,4,10,10,8,5.166666667,6.5,5,161,0.925465839,0.074534161,1,0.333333333,0,1,40,100,0,75,0,946,5993,5488,0,7
53,20,3,0,4,1,1,0,3,1,5,3,3,3,3,12,12,10,7.6,7.5,7.666666667,53,0.886792453,0.113207547,0,0,0.333333333,1,20,100,0,100,0,237,2684,188662,0,4
46,37,6,1,3,0,0,0.086956522,3,1,7,2,2,2,0,6,6,0,4,4,0,3,1,0,0,0,0,0,100,0,0,0,0,0,725,23941,1,1
36,29,2,0,2,0,1,0,2,1,2,0,8,8,0,16,16,0,12,12,0,14,0.071428571,0.928571429,0,0.846153846,0.615384615,1,0,0,0,14.28571429,0,374,7295,0,1,5
31,23,2,0,3,1,1,0,2,0,2,4,3,3,0,15,15,0,9,9,0,64,0.421875,0.578125,2,0,0,1,53.84615385,100,0,10,0,264,3754,3847776,0,4
48,16,2,2,6,1,0,0,2,0,7,3,1,3,1,8,8,7,4.142857143,5.5,3.6,154,0.590909091,0.409090909,2,0.031746032,0,1,7.407407407,25,75,100,0,827,5381,299694,0,5
